app_epoch_ms,provider_epoch_ms,lat,lon
1774406183907,1774406183619,53.309592,-6.227497
1774406184894,1774406184620,53.309605,-6.227571
1774406185878,1774406185619,53.309615,-6.227637
1774406186848,1774406186620,53.309623,-6.227701
1774406187877,1774406187620,53.309631,-6.227763
1774406188868,1774406188619,53.309638,-6.227820
1774406189853,1774406189620,53.309645,-6.227903
1774406190838,1774406190620,53.309657,-6.227972
1774406191844,1774406191620,53.309667,-6.228039
1774406192838,1774406192619,53.309677,-6.228106
1774406193846,1774406193620,53.309689,-6.228180
1774406194889,1774406194619,53.309701,-6.228255
1774406195835,1774406195620,53.309710,-6.228330
1774406196909,1774406196619,53.309717,-6.228409
1774406197919,1774406197621,53.309722,-6.228481
1774406198870,1774406198619,53.309729,-6.228562
1774406199862,1774406199620,53.309731,-6.228635
1774406200889,1774406200619,53.309732,-6.228701
1774406201796,1774406201620,53.309733,-6.228780
1774406202873,1774406202621,53.309740,-6.228852
1774406203883,1774406203620,53.309751,-6.228914
1774406204864,1774406204621,53.309765,-6.228966
1774406205869,1774406205620,53.309783,-6.229030
1774406206884,1774406206621,53.309801,-6.229089
1774406207871,1774406207620,53.309820,-6.229135
1774406208857,1774406208621,53.309846,-6.229178
1774406209833,1774406209621,53.309878,-6.229222
1774406210834,1774406210621,53.309912,-6.229257
1774406211895,1774406211621,53.309945,-6.229296
1774406212892,1774406212620,53.309976,-6.229334
1774406213873,1774406213620,53.310012,-6.229362
1774406214847,1774406214620,53.310050,-6.229395
1774406215872,1774406215621,53.310093,-6.229434
1774406216750,1774406216621,53.310131,-6.229489
1774406217913,1774406217620,53.310171,-6.229548
1774406218795,1774406218620,53.310198,-6.229605
1774406219739,1774406219621,53.310211,-6.229664
1774406220859,1774406220620,53.310230,-6.229744
1774406221837,1774406221621,53.310244,-6.229824
1774406222897,1774406222621,53.310256,-6.229902
1774406223851,1774406223621,53.310262,-6.229968
1774406224842,1774406224621,53.310272,-6.230036
1774406225882,1774406225620,53.310280,-6.230111
1774406226799,1774406226621,53.310288,-6.230181
1774406227867,1774406227620,53.310295,-6.230258
1774406228857,1774406228621,53.310303,-6.230332
1774406229882,1774406229621,53.310310,-6.230407
1774406230887,1774406230621,53.310319,-6.230480
1774406231889,1774406231620,53.310327,-6.230552
1774406232864,1774406232620,53.310338,-6.230627
1774406233878,1774406233621,53.310347,-6.230692
1774406234925,1774406234621,53.310354,-6.230771
1774406235894,1774406235621,53.310362,-6.230842
1774406236855,1774406236621,53.310367,-6.230893
1774406237817,1774406237620,53.310377,-6.230959
1774406238833,1774406238620,53.310386,-6.231027
1774406239862,1774406239621,53.310397,-6.231104
1774406240831,1774406240621,53.310404,-6.231174
1774406241862,1774406241621,53.310413,-6.231244
1774406242817,1774406242621,53.310422,-6.231300
1774406243853,1774406243621,53.310430,-6.231371
1774406244842,1774406244621,53.310441,-6.231432
1774406245862,1774406245622,53.310451,-6.231506
1774406246882,1774406246621,53.310459,-6.231581
1774406247869,1774406247621,53.310468,-6.231664
1774406248876,1774406248621,53.310477,-6.231743
1774406249921,1774406249621,53.310483,-6.231802
1774406250884,1774406250622,53.310489,-6.231868
1774406251871,1774406251621,53.310493,-6.231925
1774406252865,1774406252622,53.310495,-6.231981
1774406253862,1774406253622,53.310496,-6.232046
1774406254861,1774406254621,53.310491,-6.232096
1774406255874,1774406255621,53.310483,-6.232147
1774406256858,1774406256622,53.310472,-6.232188
1774406257871,1774406257622,53.310460,-6.232220
1774406258859,1774406258621,53.310448,-6.232250
1774406259850,1774406259622,53.310427,-6.232292
1774406260863,1774406260621,53.310396,-6.232336
1774406261894,1774406261622,53.310370,-6.232373
1774406262850,1774406262622,53.310347,-6.232420
1774406263855,1774406263622,53.310337,-6.232459
1774406264859,1774406264622,53.310331,-6.232495
1774406265885,1774406265621,53.310330,-6.232530
1774406266843,1774406266622,53.310324,-6.232587
1774406267901,1774406267622,53.310324,-6.232618
1774406268870,1774406268622,53.310320,-6.232658
1774406269881,1774406269622,53.310316,-6.232705
1774406270876,1774406270622,53.310311,-6.232750
1774406271861,1774406271622,53.310307,-6.232807
1774406272834,1774406272621,53.310302,-6.232868
1774406273875,1774406273621,53.310301,-6.232927
1774406274855,1774406274622,53.310298,-6.232986
1774406275856,1774406275622,53.310303,-6.233048
1774406276885,1774406276621,53.310314,-6.233111
1774406277861,1774406277622,53.310329,-6.233175
1774406278862,1774406278622,53.310341,-6.233245
1774406279858,1774406279621,53.310357,-6.233311
1774406280868,1774406280621,53.310373,-6.233374
1774406281848,1774406281621,53.310388,-6.233444
1774406282871,1774406282622,53.310402,-6.233516
1774406283853,1774406283622,53.310416,-6.233587
1774406284875,1774406284621,53.310431,-6.233652
1774406285848,1774406285621,53.310448,-6.233723
1774406286855,1774406286622,53.310463,-6.233798
1774406287857,1774406287622,53.310471,-6.233871
1774406288852,1774406288622,53.310477,-6.233943
1774406289871,1774406289621,53.310481,-6.234018
1774406290865,1774406290622,53.310477,-6.234095
1774406291846,1774406291623,53.310471,-6.234171
1774406292866,1774406292622,53.310464,-6.234244
1774406293847,1774406293622,53.310457,-6.234313
1774406294872,1774406294623,53.310452,-6.234380
1774406295863,1774406295623,53.310446,-6.234458
1774406296875,1774406296622,53.310441,-6.234528
1774406297861,1774406297622,53.310436,-6.234595
1774406298877,1774406298623,53.310427,-6.234672
1774406299853,1774406299622,53.310419,-6.234750
1774406300856,1774406300622,53.310414,-6.234814
1774406301880,1774406301622,53.310411,-6.234881
1774406302870,1774406302623,53.310408,-6.234964
1774406303899,1774406303622,53.310404,-6.235040
1774406304886,1774406304623,53.310403,-6.235105
1774406305863,1774406305623,53.310400,-6.235183
1774406306867,1774406306622,53.310396,-6.235258
1774406307886,1774406307623,53.310394,-6.235321
1774406308863,1774406308622,53.310391,-6.235396
1774406309873,1774406309623,53.310389,-6.235467
1774406310852,1774406310622,53.310383,-6.235551
1774406311867,1774406311623,53.310381,-6.235616
1774406312869,1774406312623,53.310375,-6.235684
1774406313866,1774406313622,53.310372,-6.235744
1774406314874,1774406314622,53.310371,-6.235792
1774406315877,1774406315622,53.310376,-6.235856
1774406316882,1774406316623,53.310387,-6.235914
1774406317852,1774406317622,53.310406,-6.235940
1774406318829,1774406318623,53.310427,-6.235983
1774406319866,1774406319623,53.310452,-6.236026
1774406320867,1774406320623,53.310480,-6.236073
1774406321837,1774406321622,53.310502,-6.236111
1774406322843,1774406322622,53.310524,-6.236158
1774406323861,1774406323623,53.310547,-6.236204
1774406324864,1774406324623,53.310567,-6.236242
1774406325850,1774406325623,53.310589,-6.236277
1774406326865,1774406326623,53.310607,-6.236312
1774406327839,1774406327622,53.310618,-6.236337
1774406328888,1774406328623,53.310626,-6.236357
1774406329889,1774406329622,53.310634,-6.236372
1774406330874,1774406330623,53.310640,-6.236393
1774406331861,1774406331622,53.310636,-6.236423
1774406332877,1774406332622,53.310631,-6.236447
1774406333853,1774406333622,53.310613,-6.236454
1774406334856,1774406334623,53.310590,-6.236451
1774406335854,1774406335624,53.310565,-6.236442
1774406336845,1774406336624,53.310540,-6.236424
1774406337868,1774406337624,53.310524,-6.236402
1774406338907,1774406338623,53.310507,-6.236383
1774406339852,1774406339624,53.310491,-6.236347
1774406340871,1774406340624,53.310482,-6.236311
1774406341859,1774406341623,53.310482,-6.236261
1774406342900,1774406342623,53.310493,-6.236223
1774406343862,1774406343623,53.310508,-6.236180
1774406344845,1774406344624,53.310527,-6.236136
1774406345872,1774406345623,53.310542,-6.236096
1774406346835,1774406346624,53.310558,-6.236056
1774406347847,1774406347624,53.310572,-6.236023
1774406348851,1774406348624,53.310590,-6.235996
1774406349861,1774406349624,53.310615,-6.235985
1774406350844,1774406350624,53.310633,-6.235965
1774406351900,1774406351623,53.310649,-6.235945
1774406352840,1774406352624,53.310664,-6.235925
1774406353839,1774406353624,53.310678,-6.235917
1774406354848,1774406354624,53.310693,-6.235910
1774406355886,1774406355623,53.310715,-6.235892
1774406356851,1774406356624,53.310728,-6.235882
1774406357857,1774406357624,53.310743,-6.235860
1774406358843,1774406358623,53.310752,-6.235840
1774406359854,1774406359623,53.310764,-6.235821
1774406360879,1774406360624,53.310793,-6.235789
1774406361845,1774406361623,53.310807,-6.235774
1774406362874,1774406362623,53.310811,-6.235773
1774406363875,1774406363623,53.310802,-6.235786
1774406364855,1774406364624,53.310795,-6.235803
1774406365844,1774406365624,53.310795,-6.235803
1774406366901,1774406366624,53.310795,-6.235803
1774406367845,1774406367624,53.310795,-6.235809
1774406368847,1774406368624,53.310794,-6.235815
1774406369872,1774406369624,53.310796,-6.235820
1774406370866,1774406370623,53.310803,-6.235815
1774406371834,1774406371624,53.310799,-6.235822
1774406372846,1774406372623,53.310795,-6.235817
1774406373817,1774406373624,53.310787,-6.235804
1774406374726,1774406374623,53.310795,-6.235792
1774406375737,1774406375623,53.310795,-6.235790
1774406376740,1774406376624,53.310804,-6.235805
1774406377753,1774406377623,53.310804,-6.235805
1774406378755,1774406378624,53.310804,-6.235805
1774406379762,1774406379624,53.310809,-6.235794
1774406380765,1774406380623,53.310802,-6.235803
